,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,量産前,,,,,,量産後,,,,,,,,,,,,,,,,,
,シリーズ名,◯◯コラボ,,,商品企画課 記入,,,,,試作課,製造部,企画課,生産管理課,,修正,,,,,,,,,,,,,,,,,
,商品名,◯◯トートバッグ小,,,製造部 記入,,,,作成者,◯◯,,◯◯,,進藤,,,,,,,,,,,,,,,,,,
,色,,,,試作課 記入,,,,作成日,2026/2/11,,2026/2/13,,2026/3/17,,,,,,,,,,,,,,,,,,
,品番,,,,製造部・生産管理課　記入,,,,確認者,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,確認日,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,原厚指定±0.2はブレの範囲,,,,裁断後厚より0.3以下,,,,,,,,,,,,
,,,型番,抜型名,革名,革仕入先,リードタイム,単価,正味数量（枚）,使用数,実用尺,"ロス率
（%）",ロス込み数量,金額,元厚,原厚,目の指定,"大漉き（裁断後）
裁断担当","本抜き（大漉後）
,,,A-2,前胴内装,,,,,6.1ｄｓ,1 ,6.08,199%,12.11, 714 ,平均ds,歩留まり,あり,0.7 ,,,底に向けて毛並みが寝る向きで裁断,,,,,,,,,,,
,,,A-3,底内装,,,,,0.7ｄｓ,1 ,0.72,199%,1.43, 85 ,136,5.2,,0.7 ,,,,,,,,,,,,,,
,,,,,,,,,,,0.00,199%,0.00, 0 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.00,199%,0.00, 0 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.00,199%,0.00, 0 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.00,199%,0.00, 0 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.00,199%,0.00, 0 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.00,199%,0.00, 0 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.00,199%,0.00, 0 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.00,199%,0.00, 0 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.00,199%,0.00, 0 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.00,100%,0.00, 0 ,,,,,,,,,,,,,,,,,,
,,,,計,,,,,,3 ,13.47,,26.83," 1,583 ",,,目の指定,●縦サイズ,●横サイズ,●生地縦,●生地幅,１単位あたりの裁断可能数,,間隔値,,有効幅,,縦,横,裁断可能数(縦),裁断可能数(横),1判
,内装生地,,,,,,,,#DIV/0!,1,#DIV/0!,100%,0.000 , 0 ,,,なし,,,1000mm,1110mm,118689 ,,3mm,3mm,980mm,1090mm,326.6666667,363.3333333,326,363,118338
,,,,,,,,,#DIV/0!,,#DIV/0!,100%,0.000 , 0 ,,,なし,,,1000mm,1110mm,118689 ,,3mm,3mm,980mm,1090mm,326.6666667,363.3333333,326,363,118338
,,,,,,,,,#DIV/0!,,#DIV/0!,100%,0.000 , 0 ,,,あり,,,1000mm,1110mm,118689 ,,3mm,3mm,980mm,1090mm,326.6666667,363.3333333,326,363,118338
,,,,,,,,,#DIV/0!,,#DIV/0!,100%,0.000 , 0 ,,,あり,,,1000mm,1110mm,118689 ,,3mm,3mm,980mm,1090mm,326.6666667,363.3333333,326,363,118338
,,,,,,,,,#DIV/0!,,#DIV/0!,100%,0.000 , 0 ,,,あり,,,1000mm,1110mm,118689 ,,3mm,3mm,980mm,1090mm,326.6666667,363.3333333,326,363,118338
,,,,,,,,,#DIV/0!,,#DIV/0!,100%,0.000 , 0 ,,,あり,,,1000mm,1110mm,118689 ,,3mm,3mm,980mm,1090mm,326.6666667,363.3333333,326,363,118338
,,,,,,,,,#DIV/0!,,#DIV/0!,100%,0.000 , 0 ,,,あり,,,1000mm,1110mm,118689 ,,3mm,3mm,980mm,1090mm,326.6666667,363.3333333,326,363,118338
,,,,,,,,,#DIV/0!,,#DIV/0!,100%,0.000 , 0 ,,,あり,,,1000mm,1110mm,118689 ,,3mm,3mm,980mm,1090mm,326.6666667,363.3333333,326,363,118338
,,,,,,,,,#DIV/0!,,#DIV/0!,100%,0.000 , 0 ,,,あり,,,1000mm,1110mm,118689 ,,3mm,3mm,980mm,1090mm,326.6666667,363.3333333,326,363,118338
,,,,,,,,,#DIV/0!,,#DIV/0!,100%,0.000 , 0 ,,,あり,,,1000mm,1110mm,118689 ,,3mm,3mm,980mm,1090mm,326.6666667,363.3333333,326,363,118338
,,,,,,,,,#DIV/0!,,#DIV/0!,100%,0.000 , 0 ,,,あり,,,1000mm,1110mm,118689 ,,3mm,3mm,980mm,1090mm,326.6666667,363.3333333,326,363,118338
,,,,,,,,,#DIV/0!,,#DIV/0!,100%,0.000 , 0 ,,,あり,,,1000mm,1110mm,118689 ,,3mm,3mm,980mm,1090mm,326.6666667,363.3333333,326,363,118338
,,,,,,,,,#DIV/0!,,#DIV/0!,100%,0.000 , 0 ,,,あり,,,1000mm,1110mm,118689 ,,3mm,3mm,980mm,1090mm,326.6666667,363.3333333,326,363,118338
,,,,計,,,,,#DIV/0!,0 ,,,0.0m, 0 ,,,,,,,,１単位あたりの裁断可能数,,間隔値,,有効幅,,縦,横,裁断可能数(縦),裁断可能数(横),1判
,芯,,D-1,ダーツ当て革補強芯,自社210ナイロンOxWP,自社（生産管理）,,1690, 0.00 ,6枚,0.00,108%,0.007 , 11 ,,,なし,8mm,88mm,1000mm,1000mm,959 ,,11mm,91mm,980mm,980mm,89.09090909,10.76923077,89,10,890
,,大中小共通,D-2,持ち手裏補強芯,自社210ナイロンOxWP,自社（生産管理）,,1690, 0.00 ,4枚,0.01,104%,0.008 , 13 ,,,なし,60mm,25mm,1000mm,1000mm,544 ,,63mm,28mm,980mm,980mm,15.55555556,35,15,35,525
,,,D-3,ハンドル補強芯,自社210ナイロンOxWP,自社（生産管理）,,1690, 0.01 ,2枚,0.01,179%,0.029 , 48 ,,,あり,546mm,11mm,1000mm,1000mm,125 ,,549mm,14mm,980mm,980mm,1.785063752,70,1,70,70
,,,B-3,ハンドル芯,ロザーフレックス　1440×1000　0.6　ＷＰ,清水商事,,2360, 0.01 ,1枚,0.01,126%,0.014 , 34 ,,,なし,560mm,25mm,1440mm,1000mm,88 ,,563mm,28mm,1420mm,980mm,2.522202487,35,2,35,70
,,,D-4,ハンドル盛り芯,ロザーフレックス　1440×1000　0.6　ＷＰ,清水商事,,2360, 0.00 ,1枚,0.00,130%,0.006 , 13 ,,,なし,543mm,8mm,1440mm,1000mm,232 ,,546mm,11mm,1420mm,980mm,2.600732601,89.09090909,2,89,178
,,,D-5,背胴スポンジ,圧縮ウレタン　1000巾　0.5㎜　ＷＰ,清水商事,,840, 0.06 ,1枚,0.06,131%,0.083 , 70 ,,,なし,253mm,236mm,1000mm,1000mm,16 ,,256mm,239mm,980mm,980mm,3.828125,4.10041841,3,4,12
,,,D-6,前胴スポンジ,圧縮ウレタン　1000巾　0.5㎜　ＷＰ,清水商事,,840, 0.05 ,1枚,0.05,118%,0.063 , 53 ,,,なし,212mm,233mm,1000mm,1000mm,19 ,,215mm,236mm,980mm,980mm,4.558139535,4.152542373,4,4,16
,,,A-3,底芯①,黒ボンテックス　1280×1120　0.4　WP,清水商事,,835, 0.01 ,1枚,0.01,107%,0.008 , 6 ,,,なし,96mm,96mm,1280mm,1120mm,141 ,,99mm,99mm,1260mm,1100mm,12.72727273,11.11111111,12,11,132
,,,A-3,底芯②,黒ボンテックス　1280×1120　0.6　WP,清水商事,,995, 0.01 ,1枚,0.01,107%,0.008 , 8 ,,,なし,96mm,96mm,1280mm,1120mm,141 ,,99mm,99mm,1260mm,1100mm,12.72727273,11.11111111,12,11,132
,,,A-1,背胴感圧シート,感圧シート,楠本化成,,470, 0.07 ,1枚,0.07,151%,0.111 , 52 ,,,なし,273mm,262mm,1000mm,1000mm,14 ,,276mm,262mm,980mm,1000mm,3.554201574,3.812428517,3,3,9
,,,A-2,前胴感圧シート,感圧シート,楠本化成,,470, 0.06 ,1枚,0.06,169%,0.111 , 52 ,,,なし,246mm,259mm,1000mm,1000mm,15 ,,249mm,259mm,980mm,1000mm,3.93653344,3.866079023,3,3,9
,,,A-3,底感圧シート,感圧シート,楠本化成,,470, 0.01 ,1枚,0.01,107%,0.010 , 5 ,,,なし,94mm,94mm,1000mm,1000mm,107 ,,97mm,94mm,980mm,1000mm,10.10309278,10.63829787,10,10,100
,,,-,半カマ芯短,ミラストマー芯BM-5 7×3,清水商事,,74, 0.07 ,1枚,0.07,105%,0.077 , 6 ,,,なし,69mm,8mm,1000mm,8mm,14 ,,72mm,8mm,980mm,8mm,13.61111111,1,13,1,13
,,,-,半カマ芯長,ミラストマー芯BM-5 7×3,清水商事,,74, 0.12 ,1枚,0.12,101%,0.125 , 9 ,,,なし,119mm,8mm,1000mm,8mm,8 ,,122mm,8mm,980mm,8mm,8.065843621,1,8,1,8
,,,-,半カマ芯ノット,ミラストマー芯BM-5 7×3,清水商事,,74, 0.50 ,1枚,0.50,195%,1.000 , 74 ,,,なし,500mm,8mm,1000mm,8mm,2 ,,503mm,8mm,980mm,8mm,1.948310139,1,1,1,1
,,,,,,,,,#DIV/0!,,#DIV/0!,100%,0.000 , 0 ,,,なし,,,1000mm,1000mm,106711 ,,3mm,3mm,980mm,980mm,326.6666667,326.6666667,326,326,106276
,,,,,,,,,#DIV/0!,,#DIV/0!,100%,0.000 , 0 ,,,なし,,,1000mm,1000mm,106711 ,,3mm,3mm,980mm,980mm,326.6666667,326.6666667,326,326,106276
,,,,,,,,,#DIV/0!,,#DIV/0!,100%,0.000 , 0 ,,,なし,,,1000mm,1000mm,106711 ,,3mm,3mm,980mm,980mm,326.6666667,326.6666667,326,326,106276
,,,,,,,,,#DIV/0!,,#DIV/0!,100%,0.000 , 0 ,,,なし,,,1000mm,1000mm,106711 ,,3mm,3mm,980mm,980mm,326.6666667,326.6666667,326,326,106276
,,,,,,,,,#DIV/0!,,#DIV/0!,100%,0.000 , 0 ,,,なし,,,1000mm,1000mm,106711 ,,3mm,3mm,980mm,980mm,326.6666667,326.6666667,326,326,106276
,,,,,,,,,#DIV/0!,,#DIV/0!,100%,0.000 , 0 ,,,なし,,,1000mm,1000mm,106711 ,,3mm,3mm,980mm,980mm,326.6666667,326.6666667,326,326,106276
,,,,芯材裁断費（清水商事）,清水商事購入分は裁断物で納品の為）,,,25,,,,#DIV/0!,#DIV/0!, 525 ,FY26材料裁断費 ¥25,,,,,,,,,・黄色セルは自動計算,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,計,,,,,,21 ,,,, 979 ,,,,,,,,,,・Bontex印字面　生地貼り合わせの場合透けに注意。印字なしはなるべく避ける。,,,,,,,,
,金具・ファスナー,,,極小カシメ両面7mm GST (ST),,,,60,,3,,100%,, 180 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,100%,, 0 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,100%,, 0 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,100%,, 0 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,100%,, 0 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,100%,, 0 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,100%,, 0 ,,,,,,,,,,,,,,,,,,
